treatment;number;date;Cylindrospermium;Chlamydomonas terricola;Ankistrodesmus sp.;Phacus smulkowskia;Cryptomonas sp.;Oocystis sp.;Tetraedron sp.;Nitzschia sp.;Fragilaria capucina;Coccoid Cyanobacterium;Eudorina elegans;Gymnodinium sp;Peridinium cinctum;Closterium navicula;Staurastrum hirsutum;Tetmemorus laevis;Stichococcus sp.;Microthamnion sp.;Cosmarium biretum;all
HVP;2;05.10.2005;5353.001534;4523488.508;24361548.61;0;74295.94684;0;0;0;17170.78032;953.9322398;56412.70328;0;0;0;0;0;0;0;0;29039223.48
HVP;3;05.10.2005;3683.786002;9450060.151;28781394.35;0;97007.70287;0;0;0;143486.5207;2110.095892;39284.0937;0;0;0;0;0;0;0;0;38517026.7
HVP;4;05.10.2005;0;14112402.01;42790375.42;0;57633.98817;0;0;0;159839.7638;3482.347796;58348.43329;0;35993.21287;0;0;0;0;0;0;57218075.17
HVP;5;05.10.2005;3338.431064;13760651.45;38483215.52;0;81648.14991;0;0;0;75479.88847;2137.774619;55106.85367;0;0;0;0;0;0;0;0;52461578.07
HVP;6;05.10.2005;21699.80192;13001836.71;32722051.79;0;50897.548;0;0;11981.79476;70578.59701;615.0640262;103056.9731;0;0;0;0;0;0;0;0;45982718.28
HVP;7;05.10.2005;18361.37085;13170254.28;51968375.63;0;25448.774;0;0;0;0;307.5320131;206113.9462;0;0;0;0;0;0;0;0;65388861.54
HVP;8;05.10.2005;5813.474784;17232257.81;44344505.27;0;99638.42023;0;0;0;0;602.0330087;67249.04176;0;0;0;0;0;0;0;0;61750066.05
LSA;1;02.11.2005;17728.22013;24307747.62;47029696.31;0;0;0;0;0;0;550.6968607;0;0;0;0;0;0;0;0;0;71355722.84
LSA;2;02.11.2005;7022.217066;25547261.8;37623757.04;0;0;0;0;0;90575.86616;0;0;0;0;0;0;0;0;0;0;63268616.92
LSA;3;02.11.2005;11799.62704;27665393.48;30155875.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57833068.39
LSA;4;02.11.2005;5698.356472;21543013.68;44897084.78;0;0;0;0;0;0;483.264592;0;0;0;0;0;0;0;0;0;66446280.08
LSA;5;02.11.2005;15022.93979;24797639.28;47366424.44;0;0;0;0;0;132550.048;2310.240489;0;0;0;0;0;0;0;0;0;72313946.95
LSA;6;02.11.2005;6101.270566;46166625.38;39349087.87;0;0;0;0;0;0;947.1986004;0;0;0;0;0;0;0;0;0;85522761.72
LSA;7;02.11.2005;1496.538063;22316030.29;26040309.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48357836
LSA;8;02.11.2005;4719.850815;31199850.92;32642821.64;0;0;0;0;0;0;348.2347796;0;0;0;0;0;0;0;0;0;63847740.65
LSP;1;02.11.2005;635180.1601;33717198.31;29986526.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64338905.09
LSP;2;02.11.2005;461247.649;26519873.29;31692059.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58673180.78
LSP;3;02.11.2005;43457.16299;22073452.25;52896928.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75013838.39
LSP;4;02.11.2005;20893.97373;19145709.81;45484200.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64650804.29
LSP;5;02.11.2005;75984.16869;10025379.97;45121570.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55222934.34
LSP;6;02.11.2005;22359.92464;15758271;51060230.05;0;29690.23633;0;0;0;0;179.3936743;0;0;0;0;0;0;0;0;0;66870730.61
LSP;7;02.11.2005;16346.80038;20342201.09;45346055.63;0;38422.65878;0;0;0;0;464.3130394;0;0;0;0;0;0;0;0;0;65743490.49
LSP;8;02.11.2005;16577.03701;19672443.72;32088210.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51777231.34
LVA;1;02.11.2005;805.8281879;8599933.172;78313343.59;0;0;0;0;0;0;30067.32399;0;0;0;0;0;0;0;0;0;86944149.92
LVA;2;02.11.2005;0;3974412.418;78313343.59;0;0;0;0;0;0;16184.14875;0;0;0;0;0;0;0;0;0;82303940.16
LVA;3;02.11.2005;9727.497412;4622426.161;60745755.7;0;0;0;0;0;0;224485.4239;0;0;0;0;0;0;0;0;0;65602394.79
LVA;4;02.11.2005;2475.04372;3197626.815;61957976.99;0;0;0;0;0;0;50603.76084;0;0;0;0;0;0;0;0;0;65208682.61
LVA;5;02.11.2005;3971.581783;14130815.21;69029267.85;0;0;0;0;0;0;106559.8425;0;0;0;0;0;0;0;0;0;83270614.48
LVA;6;02.11.2005;8461.195973;18371550.36;53876501.73;0;0;0;0;0;0;121853.1533;0;0;0;0;0;0;0;0;0;72378366.44
LVA;7;02.11.2005;3280.871908;8541094.002;73070005.48;0;0;0;0;0;0;43685.45269;0;0;0;0;0;0;0;0;0;81658065.8
LVA;8;02.11.2005;3856.463471;9883835.679;79467840.06;0;0;0;0;0;0;82879.87754;0;0;0;0;0;0;0;0;0;89438412.08
LVP;1;02.11.2005;8864.110067;17976543.4;37623757.04;0;33785.44134;0;0;0;0;204.1376294;0;0;0;0;0;0;0;0;0;55643154.13
LVP;2;02.11.2005;6101.270566;14282733.11;49958210.7;0;26843.22737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64273888.31
LVP;3;02.11.2005;7770.486098;8901867.872;50570443.67;0;16606.40337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59496688.43
LVP;4;02.11.2005;24289.96395;10745041.22;46019511.9;0;19995.46528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56808838.55
LVP;5;02.11.2005;8806.550911;12593170.45;41650680.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54252657.19
LVP;6;02.11.2005;195303.0586;10072352;64352488.18;0;38049.62326;0;0;0;0;114.9512865;0;0;0;0;0;0;0;0;0;74658307.81
LVP;7;02.11.2005;33959.90221;8278869;58590695.64;0;0;0;0;0;0;94.71986004;0;0;0;0;0;0;0;0;0;66903619.26
LVP;8;02.11.2005;6964.65791;8813948.189;51060230.05;0;16606.40337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59897749.3
HSA;1;02.11.2005;36837.86002;7519662.932;62294705.13;0;0;0;0;0;0;3568742.636;0;0;0;0;0;0;0;0;0;73419948.56
HSA;2;02.11.2005;29758.0838;15523072.93;51519404.78;0;0;0;0;0;0;769869.8832;0;0;0;0;0;0;0;0;0;67842105.68
HSA;3;02.11.2005;2417.484564;3964408.81;73631219.04;0;0;0;0;0;0;815438.5056;0;0;0;0;0;0;0;0;0;78413483.84
HSA;4;02.11.2005;37758.80652;11091909.75;34538685.93;0;0;0;0;0;0;275467.4616;0;0;0;0;0;0;0;0;0;45943821.96
HSA;5;02.11.2005;35111.08533;15332934.07;66447685.47;0;0;0;0;0;0;1132020.514;0;0;0;0;0;0;0;0;0;82947751.14
HSA;6;02.11.2005;23196.33998;11304846.59;55672385.12;0;0;0;0;0;0;3121050.908;0;0;0;0;0;0;0;0;0;70121478.96
HSA;7;02.11.2005;29124.93308;5861312.179;41604631.89;0;0;0;0;0;0;786658.323;0;0;0;0;0;0;0;0;0;48281727.33
HSA;8;02.11.2005;7367.572004;2587178.822;57378474.35;0;0;0;0;0;0;2244854.239;0;0;0;0;0;0;0;0;0;62217874.98
HSP;1;02.11.2005;36665.18255;7075142.084;51182676.65;0;26660.62038;0;0;0;0;161.0881973;0;0;0;0;0;0;0;0;0;58321305.62
HSP;2;02.11.2005;978.5056568;4471109.535;63753860.39;0;0;0;0;0;0;15109.23141;0;0;0;0;0;0;0;0;0;68241057.66
HSP;3;02.11.2005;22735.86673;10117727.44;34009541.72;0;38803.08115;0;0;0;0;468.9101982;0;0;0;0;0;0;0;0;0;44189277.02
HSP;4;02.11.2005;37528.5699;12936523.55;46805210.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59779263.01
HSP;5;02.11.2005;30851.70777;14820746.51;25719615.71;0;27993.6514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40599207.58
HSP;6;02.11.2005;25882.10746;20645299.89;62406947.84;0;78382.22392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83156512.06
HSP;7;02.11.2005;34938.40786;10734035.71;71891457;0;0;0;0;0;0;234.4550991;0;0;0;0;0;0;0;0;0;82660665.58
HSP;8;02.11.2005;12835.69185;9239809.152;37893139.55;0;52488.09637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47198272.49
HVA;1;02.11.2005;16289.24123;4791012.153;63304889.54;0;0;26135.66509;0;0;0;2118221.436;0;0;0;0;0;0;0;0;0;70256548.03
HVA;2;02.11.2005;15483.41304;2532040.466;26693357.68;0;0;0;0;0;0;3087328.674;0;0;0;0;0;0;0;0;0;32328210.23
HVA;3;02.11.2005;24002.16817;7939281.575;39808748.5;0;0;0;0;0;0;3978060.788;0;0;0;0;0;0;0;0;0;51750093.03
HVA;4;02.11.2005;17497.98351;2659794.686;37713551.21;0;0;0;0;0;0;5706699.054;0;0;0;0;0;0;0;0;0;46097542.94
HVA;5;02.11.2005;46853.15321;5894615.089;46603174;0;0;0;0;0;0;2878018.255;0;0;0;0;0;0;0;0;0;55422660.5
HVA;6;02.11.2005;23829.4907;8336669.912;39397191.89;0;0;0;0;0;0;4532878.752;0;0;0;0;0;0;0;0;0;52290570.05
HVA;7;02.11.2005;52954.42378;11057056.94;48733744.75;0;0;0;0;0;0;2344276.688;0;0;0;0;0;0;0;0;0;62188032.8
HVA;8;02.11.2005;16922.39195;2765167.057;17360206.11;0;0;0;0;0;0;4860653.053;0;0;0;0;0;0;0;0;0;25002948.62
HVP;1;02.11.2005;79545.9266;9831095.185;37264580.37;0;37324.86853;0;0;0;0;112.7617381;0;0;0;0;0;0;0;0;0;47212659.11
HVP;2;02.11.2005;49567.79754;8898836.159;33514353.28;0;0;0;0;0;0;204.1376294;0;0;0;0;0;0;0;0;0;42462961.38
HVP;3;02.11.2005;32636.04161;14815670.91;38964255.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53812562.67
HVP;4;02.11.2005;39197.78543;24226868.02;28781394.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53047460.15
HVP;5;02.11.2005;12605.45523;20100637.45;673456.2717;0;37683.7615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20824382.94
HVP;6;02.11.2005;120759.1099;14783694.64;28568723.95;0;27993.6514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43501171.35
HVP;7;02.11.2005;24174.84564;20494767.6;24611765.56;0;0;0;0;0;0;232.1565197;0;0;0;0;0;0;0;0;0;45130940.17
HVP;8;02.11.2005;133565.9215;22183819.51;35440636.3;0;0;0;0;0;0;251.9145214;0;0;0;0;0;0;0;0;0;57758273.64
LSA;1;30.11.2005;0;23578460.36;38431904.57;0;0;0;0;0;205854.2413;1345.452557;0;0;0;0;0;0;0;0;0;62217564.62
LSA;2;30.11.2005;0;14211674.74;24712917.1;0;0;0;0;0;0;486.5746235;0;0;0;0;0;0;0;0;0;38925078.41
LSA;3;30.11.2005;0;13507089.43;27072942.12;0;0;0;0;0;0;153.7660066;0;0;0;0;0;0;0;0;0;40580185.32
LSA;4;30.11.2005;0;13372355.37;32880512.09;0;25448.774;0;0;0;0;461.2980197;0;0;0;0;0;0;0;0;0;46278777.53
LSA;5;30.11.2005;0;21613588.66;45313986.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66927574.94
LSA;6;30.11.2005;0;15790633.6;28285163.41;0;0;0;0;0;0;174.1173898;0;0;0;0;0;0;0;0;0;44075971.13
LSA;7;30.11.2005;0;16040607.95;33276662.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49317270.79
LSA;8;30.11.2005;0;13514180.7;39689022.94;0;0;0;0;0;0;623.156974;0;0;0;0;0;0;0;0;0;53203826.8
LSP;1;30.11.2005;575.5915628;19308139.2;18074697.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37383412.15
LSP;2;30.11.2005;10072.85235;9836221.858;33514353.28;0;0;0;0;0;0;111.6979482;0;0;0;0;0;0;0;0;0;43360759.69
LSP;3;30.11.2005;0;11333038.23;20825340.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32158378.32
LSP;4;30.11.2005;805.8281879;8046381.668;49958210.7;0;0;22225.60495;0;0;0;1305.194922;0;0;0;0;0;0;0;0;0;58028928.99
LSP;5;30.11.2005;2993.076127;4118685.455;16920588.83;0;0;0;0;0;0;189.4397201;0;0;0;0;0;0;0;0;0;21042456.8
LSP;6;30.11.2005;0;12936133.06;28554545.92;0;0;0;0;0;0;292.345247;0;0;0;0;0;0;0;0;0;41490971.33
LSP;7;30.11.2005;1151.183126;8062371.212;27072942.12;0;0;0;0;0;0;91.78281012;0;0;0;0;0;0;0;0;0;35136556.3
LSP;8;30.11.2005;518.0324065;11220271.68;26040309.17;0;0;0;0;0;0;772.1727721;0;0;0;0;0;0;0;0;0;37261871.05
LVA;1;30.11.2005;0;3350106.242;64202831.23;0;0;0;0;0;0;189439.7201;0;0;0;0;0;0;0;0;0;67742377.2
LVA;2;30.11.2005;0;1886276.829;47254181.73;0;0;0;0;0;0;207199.6938;0;0;0;0;0;0;0;0;0;49347658.25
LVA;3;30.11.2005;1438.978907;2687215.25;61957976.99;0;0;0;0;0;0;1362261.974;0;0;0;0;0;0;0;0;0;66008893.2
LVA;4;30.11.2005;0;4046871.153;62968161.4;0;0;0;0;0;0;431702.7383;0;0;0;0;0;0;0;0;0;67446735.29
LVA;5;30.11.2005;0;5868270.441;69003365.68;0;0;0;0;0;0;832411.4338;0;0;0;0;0;0;0;0;0;75704047.56
LVA;6;30.11.2005;0;5857525.376;81622900.13;0;0;0;0;0;0;1128183.156;0;0;0;0;0;0;0;0;0;88608608.66
LVA;7;30.11.2005;0;3242038.299;49386793.26;0;0;0;0;0;0;575603.651;0;0;0;0;0;0;0;0;0;53204435.21
LVA;8;30.11.2005;;;;;;;;;;;;;;;;;;;;
LVP;1;30.11.2005;;;;;;;;;;;;;;;;;;;;
LVP;2;30.11.2005;0;7306001.801;39349087.87;0;13799.68731;0;0;0;0;83.38015849;0;0;0;0;0;0;0;0;0;46668972.74
LVP;3;30.11.2005;1093.623969;5913477.857;44897084.78;0;0;0;0;0;0;4893.859435;0;0;0;0;0;0;0;0;0;50816550.12
LVP;4;30.11.2005;460.4732503;11275467.94;84013669.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95289598.3
LVP;5;30.11.2005;0;5502888.287;33756995.62;0;0;0;0;0;0;62.64541008;0;0;0;0;0;0;0;0;0;39259946.55
LVP;6;30.11.2005;5525.679003;4488108.671;53998948.33;0;0;0;0;0;0;154.4345544;0;0;0;0;0;0;0;0;0;58492737.11
LVP;7;30.11.2005;460.4732503;3157103.11;65998714.62;0;0;0;0;0;0;718.7209827;0;0;0;0;0;0;0;0;0;69156996.93
LVP;8;30.11.2005;0;2531283.749;10101844.08;0;0;0;0;0;0;3616709.607;0;0;0;0;0;0;0;0;0;16249837.43
HSA;1;30.11.2005;3856.463471;1667858.515;10326329.5;0;3158.171958;0;0;0;0;7406100.31;0;0;0;0;0;0;0;0;0;19407302.96
HSA;2;30.11.2005;3050.635283;8387466.825;29632075.95;0;0;0;0;0;0;5079702.22;0;0;0;0;0;0;0;0;0;43102295.63
HSA;3;30.11.2005;0;658300.5627;30786572.42;0;0;0;0;0;0;5279107.771;0;0;0;0;0;0;0;0;0;36723980.75
HSA;4;30.11.2005;3338.431064;8000352.972;48488851.56;0;0;0;0;0;0;4576049.025;0;0;0;0;0;0;0;0;0;61068591.99
HSA;5;30.11.2005;3798.904315;9021323.962;33095565.35;0;0;0;0;0;0;5509349.231;0;0;0;0;0;0;0;0;0;47630037.45
HSA;6;30.11.2005;3798.904315;1013230.065;11544964.66;0;0;0;0;0;0;8847850.407;0;0;0;0;0;0;0;0;0;21409844.03
HSA;7;30.11.2005;5640.797316;1095209.577;25142367.48;0;0;0;0;0;0;7463660.675;0;0;0;0;0;0;0;0;0;33706878.52
HSA;8;30.11.2005;1093.623969;257879.8013;16162950.52;0;0;0;0;0;0;6446760.891;0;0;0;0;0;0;0;0;0;22868684.84
HSP;1;30.11.2005;10936.23969;10612713.13;45009327.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55632976.86
HSP;2;30.11.2005;29087.68958;23342675.75;42479549.44;0;0;0;0;0;0;1345.452557;0;0;0;0;0;0;0;0;0;65852658.34
HSP;3;30.11.2005;14447.34823;16549833.6;40022544.15;0;0;0;0;0;0;187.9362302;0;0;0;0;0;0;0;0;0;56587013.03
HSP;4;30.11.2005;33556.98811;28039250.15;21084361.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49157168.88
HSP;5;30.11.2005;61737.13706;29715596.75;30904160.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60681493.91
HSP;6;30.11.2005;13526.40173;23453043.01;38483215.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61949784.94
HSP;7;30.11.2005;30563.91199;13980301.74;37803345.38;0;0;0;0;0;0;51980.411;0;0;0;0;0;0;0;0;0;51866191.44
HSP;8;30.11.2005;16174.12292;14575473.59;41465664.73;0;0;0;0;0;0;166.760317;0;0;0;0;0;0;0;0;0;56057479.2
HVA;1;30.11.2005;0;1296815.32;23346484.08;0;0;0;0;0;0;7693902.135;0;0;0;0;0;0;0;0;0;32337201.54
HVA;2;30.11.2005;0;427286.761;3030553.223;0;0;0;0;0;0;5986277.97;0;0;0;0;0;0;0;0;0;9444117.954
HVA;3;30.11.2005;230.2366251;1087914.107;9697770.312;0;0;0;0;0;0;9301755;0;0;0;0;0;0;0;0;0;20087669.66
HVA;4;30.11.2005;2820.398658;926296.6569;4116254.489;0;0;0;0;0;0;9228845.204;0;0;0;0;0;0;0;0;0;14274216.75
HVA;5;30.11.2005;6619.302972;996212.5348;14367067.13;0;0;0;0;0;0;8116011.479;0;0;0;0;0;0;0;0;0;23485910.45
HVA;6;30.11.2005;0;601770.4499;3591766.782;0;0;0;0;0;0;7981703.961;0;0;0;0;0;0;0;0;0;12175241.19
HVA;7;30.11.2005;9727.497412;1672643.963;17958833.91;0;0;0;0;0;0;7099111.696;0;0;0;0;0;0;0;0;0;26740317.07
HVA;8;30.11.2005;0;2101499.819;2244854.239;0;0;0;0;0;0;7885770.019;0;0;0;0;0;0;0;0;0;12232124.08
HVP;1;30.11.2005;68860.65287;12357887.16;49590870.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62017618.73
HVP;2;30.11.2005;34938.40786;6325928.388;36456432.84;0;23897.01949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42841196.66
HVP;3;30.11.2005;77468.23448;24971234.53;26617557.4;0;0;0;0;0;0;275.3484304;0;0;0;0;0;0;0;0;0;51666535.51
HVP;4;30.11.2005;62279.0071;34581741.86;19866960.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54510980.88
HVP;5;30.11.2005;45412.41332;21963084.99;16321410.82;0;0;0;0;0;0;755.7435642;0;0;0;0;0;0;0;0;0;38330663.96
HVP;6;30.11.2005;38288.8975;19644350.58;23658811.63;0;0;0;0;0;0;438.5178706;0;0;0;0;0;0;0;0;0;43341889.63
HVP;7;30.11.2005;68563.83972;34668196.21;16201433.74;0;0;0;0;0;0;394.6660835;0;0;0;0;0;0;0;0;0;50938588.45
HVP;8;30.11.2005;56691.31336;32572949.5;18048628.08;0;0;0;0;0;0;1392.939118;0;0;0;0;0;0;0;0;0;50679661.83
LSA;1;28.12.2005;0;5511465.108;10735904.14;0;0;0;0;0;0;125059.8152;0;0;0;0;0;0;0;0;0;16372429.06
LSA;2;28.12.2005;0;10295927.69;5927310.515;0;0;0;0;0;0;7534.534321;0;0;0;0;0;0;0;0;0;16230772.74
LSA;3;28.12.2005;0;5551990.587;4416106.699;0;0;0;0;0;0;471.8062713;0;0;0;0;0;0;0;0;0;9968569.093
LSA;4;28.12.2005;0;9077707.237;6616707.869;0;0;0;0;0;0;5036.531946;0;0;0;0;0;0;0;0;0;15699451.64
LSA;5;28.12.2005;0;4515968.642;2141476.742;0;0;0;0;0;0;557.1756473;0;0;0;0;0;0;0;0;0;6658002.56
LSA;6;28.12.2005;0;10582013.01;6310534.694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16892547.7
LSA;7;28.12.2005;0;8341676.921;5046904.543;0;0;0;0;0;0;2879.995745;0;0;0;0;0;0;0;0;0;13391461.46
LSA;8;28.12.2005;0;5525560.927;4348568.183;0;0;0;0;0;0;514.7818481;0;0;0;0;0;0;0;0;0;9874643.892
LSP;1;28.12.2005;0;11690693.33;5414588.424;0;0;0;0;0;0;17494.89952;0;0;0;0;0;0;0;0;0;17122776.65
LSP;2;28.12.2005;0;13300669.94;9226350.922;0;0;0;0;0;0;64664.51984;0;0;0;0;0;0;0;0;0;22591685.39
LSP;3;28.12.2005;0;12474128.31;6168859.449;0;0;0;0;0;0;200310.0705;0;0;0;0;0;0;0;0;0;18843297.83
LSP;4;28.12.2005;0;10399461.31;7045388.688;0;0;0;0;0;0;146114.7729;0;0;0;0;0;0;0;0;0;17590964.77
LSP;5;28.12.2005;0;2342634.126;3378290.75;0;0;0;0;0;0;2114035.227;0;0;0;0;0;0;0;0;0;7834960.103
LSP;6;28.12.2005;5410.56069;36403458.61;19626439.92;0;0;0;0;0;0;10571.41295;0;0;0;0;0;0;0;0;0;56045880.51
LSP;7;28.12.2005;0;3030601.019;5802084.802;0;0;0;0;0;0;666371.919;0;0;0;0;0;0;0;0;0;9499057.74
LSP;8;28.12.2005;0;7780891.918;11529774.96;0;0;0;0;0;0;232245.8107;0;0;0;0;0;0;0;0;0;19542912.69
LVA;1;28.12.2005;0;9494540.733;7462623.551;0;0;0;0;0;0;1479.997813;0;0;0;0;0;0;0;0;0;16958644.28
LVA;2;28.12.2005;0;1915467.763;34907483.42;0;0;0;0;0;0;484466.4063;0;0;0;0;0;0;0;0;0;37307417.58
LVA;3;28.12.2005;0;1920139.635;37928.2996;0;0;0;0;0;0;7827.083869;0;0;0;0;0;0;0;0;0;1965895.019
LVA;4;28.12.2005;0;1994719.747;29766767.21;0;0;0;0;0;0;1116671.083;0;0;0;0;0;0;0;0;0;32878158.04
LVA;5;28.12.2005;0;247012.4418;1299522.651;0;0;0;0;0;0;1231791.813;0;0;0;0;0;0;0;0;0;2778326.906
LVA;6;28.12.2005;0;3412671.894;14681346.72;0;0;0;0;0;0;2147001.618;0;0;0;0;0;0;0;0;0;20241020.23
LVA;7;28.12.2005;0;6966225.884;43370583.9;0;0;0;0;0;0;3350013.249;0;0;0;0;0;0;0;0;0;53686823.03
LVA;8;28.12.2005;0;0;28285163.41;0;0;0;0;0;0;1303742.27;0;0;0;0;0;0;0;0;0;29588905.68
LVP;1;28.12.2005;0;4827034.801;19575128.96;0;0;0;0;0;0;729097.9579;0;0;0;0;0;0;0;0;0;25131261.72
LVP;2;28.12.2005;0;4257010.305;16571105.84;0;0;0;0;0;0;704678.4091;0;0;0;0;0;0;0;0;0;21532794.55
LVP;3;28.12.2005;0;6700212.485;7273327.734;0;0;0;0;0;0;846137.367;0;0;0;0;0;0;0;0;0;14819677.59
LVP;4;28.12.2005;0;2229288.721;13779951.41;0;0;0;0;0;0;1359310.16;0;0;0;0;0;0;0;0;0;17368550.29
LVP;5;28.12.2005;0;1618219.869;5836621.021;0;0;0;0;0;0;2494282.488;0;0;0;0;0;0;0;0;0;9949123.378
LVP;6;28.12.2005;0;3402034.994;25713784.92;0;0;0;0;0;0;1177371.104;0;0;0;0;0;0;0;0;0;30293191.02
LVP;7;28.12.2005;0;2443748.74;18183319.34;0;0;0;0;0;0;883962.7498;0;0;0;0;0;0;0;0;0;21511030.83
LVP;8;28.12.2005;0;729458.6173;1131310.328;0;0;0;0;0;0;6504321.256;0;0;0;0;0;0;0;0;0;8365090.202
HSA;1;28.12.2005;0;572124.4057;761902.8742;0;0;0;0;0;0;8806735.86;0;0;0;0;0;0;0;0;0;10140763.14
HSA;2;28.12.2005;0;810509.5748;3428562.934;0;0;0;0;0;0;8208108.063;0;0;0;0;0;0;0;0;0;12447180.57
HSA;3;28.12.2005;0;235784.6036;5327023.402;0;0;0;0;0;0;7981703.961;0;0;0;0;0;0;0;0;0;13544511.97
HSA;4;28.12.2005;0;2327320.35;13738507.94;0;0;0;0;0;0;5997790.043;0;0;0;0;0;0;0;0;0;22063618.34
HSA;5;28.12.2005;633.1507191;1682113.716;3501972.613;0;0;0;0;0;0;9336291.219;0;0;0;0;0;0;0;0;0;14521010.7
HSA;6;28.12.2005;0;288181.1821;594130.3221;0;0;0;0;0;0;7333190.514;0;0;0;0;0;0;0;0;0;8215502.018
HSA;7;28.12.2005;0;288181.1821;3132267.372;0;0;0;0;0;0;6489931.165;0;0;0;0;0;0;0;0;0;9910379.719
HSA;8;28.12.2005;0;154843.6203;1645792.911;0;0;0;0;0;0;7647305.649;0;0;0;0;0;0;0;0;0;9447942.181
HSP;1;28.12.2005;1496.538063;27665393.48;31203473.92;0;0;0;0;0;0;35519.94752;0;0;0;0;0;0;0;0;0;58905883.89
HSP;2;28.12.2005;0;5763623.643;17307826.18;0;0;0;0;0;0;483507.0668;0;0;0;0;0;0;0;0;0;23554956.89
HSP;3;28.12.2005;0;0;6259181.819;0;0;0;0;0;0;2515726.545;0;0;0;0;0;0;0;0;0;8774908.364
HSP;4;28.12.2005;4892.528284;30586954.43;12152231.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42744078.39
HSP;5;28.12.2005;16231.68207;37237125.61;9338593.634;0;0;0;0;0;0;845.7130361;0;0;0;0;0;0;0;0;0;46592796.63
HSP;6;28.12.2005;2072.129626;42296130.42;16538087.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58836290.12
HSP;7;28.12.2005;1554.09722;25071762.85;34262087.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59335404.76
HSP;8;28.12.2005;4662.291659;25052114.13;25101551.94;0;0;0;0;0;0;807.2715344;0;0;0;0;0;0;0;0;0;50159135.64
HVA;1;28.12.2005;0;442096.1317;1215266.568;0;0;0;0;0;0;7811763.835;0;0;0;0;0;0;0;0;0;9469126.535
HVA;2;28.12.2005;0;71253.58899;297606.4174;0;0;0;0;0;0;7236160.184;0;0;0;0;0;0;0;0;0;7605020.19
HVA;3;28.12.2005;0;159385.1231;605188.4689;0;0;0;0;0;0;9244194.635;0;0;0;0;0;0;0;0;0;10008768.23
HVA;4;28.12.2005;0;396672.9213;393310.2894;0;0;0;0;0;0;7119774.391;0;0;0;0;0;0;0;0;0;7909757.602
HVA;5;28.12.2005;0;203422.0109;1075627.587;0;0;0;0;0;0;8948020.393;0;0;0;0;0;0;0;0;0;10227069.99
HVA;6;28.12.2005;0;75787.90829;364310.111;0;0;0;0;0;0;10399239.29;0;0;0;0;0;0;0;0;0;10839337.31
HVA;7;28.12.2005;0;782206.0658;1684322.083;0;0;0;0;0;0;8369277.086;0;0;0;0;0;0;0;0;0;10835805.23
HVA;8;28.12.2005;0;24534.34388;147513.382;0;0;0;0;0;0;7459823.317;0;0;0;0;0;0;0;0;0;7631871.043
HVP;1;28.12.2005;13583.96088;30325527.47;33161423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63500534.44
HVP;2;28.12.2005;0;3509029.688;6355981.197;0;0;0;0;0;0;5928717.605;0;0;0;0;0;0;0;0;0;15793728.49
HVP;3;28.12.2005;4719.850815;25366972.84;18632290.18;0;0;0;0;0;0;866.3401833;0;0;0;0;0;0;0;0;0;44004849.21
